⚠ Cost estimation disabled (token counts still recorded).
Loaded 62 manifest rows
Results file: results/prepared_runs/gpt5mini_bidiff_repair_r2/results.jsonl
Completed rounds already present: 177
[ 121/186] bidirectional_context::CVE-2017-15265::seq_clientm round 0 skipped
[ 122/186] bidirectional_context::CVE-2017-15265::seq_clientm round 1 skipped
[ 123/186] bidirectional_context::CVE-2017-15265::seq_clientm round 2 skipped
[ 124/186] bidirectional_context::CVE-2020-11078::init__.py:: round 0 skipped
[ 125/186] bidirectional_context::CVE-2020-11078::init__.py:: round 1 skipped
[ 126/186] bidirectional_context::CVE-2020-11078::init__.py:: round 2 skipped
[ 127/186] bidirectional_context::CVE-2020-27208::device.c::f round 0 skipped
[ 128/186] bidirectional_context::CVE-2020-27208::device.c::f round 1 skipped
[ 129/186] bidirectional_context::CVE-2020-27208::device.c::f round 2 skipped
[ 130/186] bidirectional_context::CVE-2019-20892::snmp_client round 0 skipped
[ 131/186] bidirectional_context::CVE-2019-20892::snmp_client round 1 skipped
[ 132/186] bidirectional_context::CVE-2019-20892::snmp_client round 2 skipped
[ 133/186] bidirectional_context::CVE-2023-36826::artifact_lo round 0 tokens=8576 cost=$0.000000
[ 134/186] bidirectional_context::CVE-2023-36826::artifact_lo round 1 tokens=5672 cost=$0.000000
[ 135/186] bidirectional_context::CVE-2023-36826::artifact_lo round 2 tokens=9455 cost=$0.000000
[ 136/186] bidirectional_context::CVE-2023-36826::artifact_lo round 0 skipped
[ 137/186] bidirectional_context::CVE-2023-36826::artifact_lo round 1 skipped
[ 138/186] bidirectional_context::CVE-2023-36826::artifact_lo round 2 skipped
[ 139/186] bidirectional_context::CVE-2019-10793::dot-object. round 0 skipped
[ 140/186] bidirectional_context::CVE-2019-10793::dot-object. round 1 skipped
[ 141/186] bidirectional_context::CVE-2019-10793::dot-object. round 2 skipped
[ 142/186] bidirectional_context::CVE-2022-0697::helpers.py:: round 0 skipped
[ 143/186] bidirectional_context::CVE-2022-0697::helpers.py:: round 1 skipped
[ 144/186] bidirectional_context::CVE-2022-0697::helpers.py:: round 2 skipped
[ 145/186] bidirectional_context::CVE-2023-23630::file-handle round 0 skipped
[ 146/186] bidirectional_context::CVE-2023-23630::file-handle round 1 skipped
[ 147/186] bidirectional_context::CVE-2023-23630::file-handle round 2 skipped
[ 148/186] bidirectional_context::CVE-2023-41317::mod.rs::sub round 0 skipped
[ 149/186] bidirectional_context::CVE-2023-41317::mod.rs::sub round 1 skipped
[ 150/186] bidirectional_context::CVE-2023-41317::mod.rs::sub round 2 skipped
[ 151/186] bidirectional_context::CVE-2019-19922::fair.c::sch round 0 skipped
[ 152/186] bidirectional_context::CVE-2019-19922::fair.c::sch round 1 skipped
[ 153/186] bidirectional_context::CVE-2019-19922::fair.c::sch round 2 skipped
[ 154/186] bidirectional_context::CVE-2022-2084::main.py::sch round 0 skipped
[ 155/186] bidirectional_context::CVE-2022-2084::main.py::sch round 1 skipped
[ 156/186] bidirectional_context::CVE-2022-2084::main.py::sch round 2 skipped
[ 157/186] bidirectional_context::CVE-2020-24708::sending_pro round 0 skipped
[ 158/186] bidirectional_context::CVE-2020-24708::sending_pro round 1 skipped
[ 159/186] bidirectional_context::CVE-2020-24708::sending_pro round 2 skipped
[ 160/186] bidirectional_context::CVE-2023-32685::app.min.js: round 0 tokens=7631 cost=$0.000000
[ 161/186] bidirectional_context::CVE-2023-32685::app.min.js: round 1 tokens=4991 cost=$0.000000
[ 162/186] bidirectional_context::CVE-2023-32685::app.min.js: round 2 tokens=8013 cost=$0.000000
[ 163/186] bidirectional_context::CVE-2023-32685::app.min.js: round 0 skipped
[ 164/186] bidirectional_context::CVE-2023-32685::app.min.js: round 1 skipped
[ 165/186] bidirectional_context::CVE-2023-32685::app.min.js: round 2 skipped
[ 166/186] bidirectional_context::CVE-2014-3122::mlock.c::rma round 0 skipped
[ 167/186] bidirectional_context::CVE-2014-3122::mlock.c::rma round 1 skipped
[ 168/186] bidirectional_context::CVE-2014-3122::mlock.c::rma round 2 skipped
[ 169/186] bidirectional_context::CVE-2014-8509::lazy_bdecode round 0 skipped
[ 170/186] bidirectional_context::CVE-2014-8509::lazy_bdecode round 1 skipped
[ 171/186] bidirectional_context::CVE-2014-8509::lazy_bdecode round 2 skipped
[ 172/186] bidirectional_context::CVE-2014-9765::xdelta3-main round 0 skipped
[ 173/186] bidirectional_context::CVE-2014-9765::xdelta3-main round 1 skipped
[ 174/186] bidirectional_context::CVE-2014-9765::xdelta3-main round 2 skipped
[ 175/186] bidirectional_context::CVE-2015-5069::filesystem.c round 0 skipped
[ 176/186] bidirectional_context::CVE-2015-5069::filesystem.c round 1 skipped
[ 177/186] bidirectional_context::CVE-2015-5069::filesystem.c round 2 skipped
[ 178/186] bidirectional_context::CVE-2016-10270::tif_dirread round 0 skipped
[ 179/186] bidirectional_context::CVE-2016-10270::tif_dirread round 1 skipped
[ 180/186] bidirectional_context::CVE-2016-10270::tif_dirread round 2 skipped
[ 181/186] bidirectional_context::CVE-2017-1002150::utils.py: round 0 skipped
[ 182/186] bidirectional_context::CVE-2017-1002150::utils.py: round 1 skipped
[ 183/186] bidirectional_context::CVE-2017-1002150::utils.py: round 2 skipped
[ 184/186] bidirectional_context::CVE-2019-12816::Modules.cpp round 0 skipped
[ 185/186] bidirectional_context::CVE-2019-12816::Modules.cpp round 1 skipped
[ 186/186] bidirectional_context::CVE-2019-12816::Modules.cpp round 2 skipped

Done.
Run directory: results/prepared_runs/gpt5mini_bidiff_repair_r2
Results JSONL: results/prepared_runs/gpt5mini_bidiff_repair_r2/results.jsonl
